Strategy,Runs,Timeout Rate (%) Mean,Timeout Rate (%) Std,Timeout Rate (%) CI95,Avg Case Cycle Time (min) Mean,Avg Case Cycle Time (min) Std,Avg Case Cycle Time (min) CI95,Avg Resource Occupation Humans (%) Mean,Avg Resource Occupation Humans (%) Std,Avg Resource Occupation Humans (%) CI95,"Weighted Fairness (Jain, humans) Mean","Weighted Fairness (Jain, humans) Std","Weighted Fairness (Jain, humans) CI95",P90 Case Cycle Time (min) Mean,P90 Case Cycle Time (min) Std,P90 Case Cycle Time (min) CI95,Avg Wait Time (min) Mean,Avg Wait Time (min) Std,Avg Wait Time (min) CI95,Service Level <=60min (%) Mean,Service Level <=60min (%) Std,Service Level <=60min (%) CI95,Value-Weighted Wait (min) Mean,Value-Weighted Wait (min) Std,Value-Weighted Wait (min) CI95,Value-at-Risk SLA Breach (%) Mean,Value-at-Risk SLA Breach (%) Std,Value-at-Risk SLA Breach (%) CI95,Case Handover Rate Mean,Case Handover Rate Std,Case Handover Rate CI95,Automation Leverage on Eligible Tasks (%) Mean,Automation Leverage on Eligible Tasks (%) Std,Automation Leverage on Eligible Tasks (%) CI95,Human Capacity Stress Ratio (%) Mean,Human Capacity Stress Ratio (%) Std,Human Capacity Stress Ratio (%) CI95
Basic: Random,3,0.0,0.0,0.0,2021.4871666666668,0.2712376085238595,0.30693424833937716,87.95395584441876,0.12565376271721274,0.14219061810976538,0.9749626915791212,0.0011946019451663788,0.0013518193590478685,2845.205555555555,3.021466408758919,3.4191111111109724,46.961083842532304,0.12785974529984395,0.14468692240006853,88.1707235633911,0.010120835130533905,0.01145280309859364,46.65475284380642,0.1271606056685305,0.1438957714295622,11.970411650434679,0.019426755035189675,0.021983442808133444,0.5886040073740125,0.0019044323896266497,0.0021550681234966014,63.970529805083494,0.14280722480002733,0.1616015877738176,0.016453294050193062,0.0008943162214767732,0.0010120140739721174
Heuristic: Round-Robin,3,0.0,0.0,0.0,2021.16475,0.6614789196271571,0.748533863327604,88.02722114474595,0.16371128630703885,0.1852567602287476,0.9756037345957228,0.0008899693592580591,0.001007095136310792,2845.3833333333337,3.1177248649187264,3.5280378084392323,46.21907242311931,0.16896978143786032,0.19120730764419933,88.31513573074226,0.03975385121303132,0.044985717530369215,45.96375573292378,0.16348921172698366,0.18500545918434055,11.84637368744189,0.028403622367960086,0.03214172447940038,0.5780196146162443,0.0008331216920727883,0.0009427659450444441,63.36659514808887,0.02773738315310675,0.03138780383492147,0.010898287497020999,0.004126380884015817,0.0046694395437642975
Pattern: Case Handling,3,1.6653310628067715,0.42105047388166045,0.4764634646984725,5288.641333333333,83.74872216715886,94.77060068349284,62.59194186688534,0.8985951999981602,1.016856193998429,0.8790955674837194,0.009379531864322041,0.010613939483608446,10709.158333333333,525.4793221299111,594.6358310471611,2042.6439530535245,81.08817577740555,91.75990902183435,38.042171691876185,0.22248461727378097,0.2517650452001939,2098.3184716201777,76.29843529827119,86.33980743008007,63.37488984346356,0.191419388629341,0.2166114296843967,0.0,0.0,0.0,24.74814473653156,0.3062372349303093,0.34654005404488547,0.008891796935430655,0.0008131915523988731,0.0009202128688932293
Batch: Greedy k=5,3,100.0,0.0,0.0,,,,,,,,,,,,,65.0,0.0,0.0,0.0,0.0,0.0,65.00000000000001,0.0,0.0,100.0,0.0,0.0,,,,,,,0.0,0.0,0.0
Advanced: Assignment Problem,3,56.572840495509034,0.010426054289628006,0.01179819109137667,1830.8897777777777,3.101998923558725,3.510242230543416,98.08878517669159,0.0013990020274161537,0.0015831198263660752,0.1473168772968896,3.0067994464787444e-05,3.402513880854493e-05,2847.738888888889,5.444220516936891,6.160715474723148,62.44816187518782,0.000573797417475439,0.0006493129031419233,43.427159504490966,0.010426054289622887,0.011798191091370876,62.43352962201042,0.001246195930053321,0.00141020344913143,56.685237597185704,0.06267524543611823,0.0709237168551747,0.9978810226632886,0.0005039848342683652,0.000570312528275366,0.9814663053085239,0.0087546455592448,0.009906814061767903,9.743810714760668,0.00798823301277011,0.009039536621333666
Advanced: OR-Optimized,3,0.0,0.0,0.0,1940.0521666666666,0.3136319941871262,0.3549080118900162,70.18174786685934,0.5637596073775868,0.6379540517122674,0.7997873744229004,0.006409674938229842,0.007253229999969794,2836.9,0.0,0.0,19.120421383017796,0.0027556313800526414,0.0031182904573591142,92.81945974823867,0.0038253161165292863,0.004328752687642651,19.236869923455064,0.006875243984204261,0.007780070971448384,7.4875825965794744,0.002267753711321148,0.002566204902746594,0.3352941674190773,0.0012069937598243267,0.001365842017403756,100.0,0.0,0.0,0.00874513429011269,0.0018268672989139203,0.002067294960531286
