Strategy,Norm Value-Weighted Wait (min),Norm Value-at-Risk SLA Breach (%),Norm Case Handover Rate,Norm Automation Leverage on Eligible Tasks (%),Norm Human Capacity Stress Ratio (%),Composite Custom Score
Advanced: OR-Optimized,1.0,1.0,0.6639938431495612,1.0,0.9991024934139099,0.9326192673126943
Heuristic: Round-Robin,0.9871448596401138,0.9528842590735149,0.42075297406343865,0.6300348683725753,0.9988815169120115,0.7979396956123308
Basic: Random,0.9868125027425688,0.951543488110284,0.41014610559176545,0.6361340766163245,0.9983114107476176,0.7965895167617122
Pattern: Case Handling,0.0,0.3958939911474227,1.0,0.24002252451550093,0.9990874415364043,0.5270007914398656
Batch: Greedy k=5,0.9779887763716452,0.0,,,1.0,0.395597755274329
Advanced: Assignment Problem,0.9792232014061869,0.46820484880349467,0.0,0.0,0.0,0.28948561004193635
